"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"R2-081/ARTIC/medaka","Asian_A1.1.1","China",1994,2015
"barcode26/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"barcode14/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-16-210/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-16-211/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"barcode13/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-136/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-15/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-412/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-528/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-310/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-35/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-2422/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-126/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-114/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-421/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-423/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21622/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-2922HM/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-29/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"barcode85/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-032/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"barcode61/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-096/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"COW/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"GOAT/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-094/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-15-001/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-12-012/ARTIC/medaka","Asian SEA4_A1.1.2","Philippines",2013,2019
"H22-01/ARTIC/medaka","Asian SEA4_A1.1.1","Philippines",2012,2016
"Z-16-082/ARTIC/medaka","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-2922JG/ARTIC/medaka","Asian SEA4_A1.1.1","Philippines",2012,2016
"barcode01/ARTIC/medaka","Asian SEA4_A1.2","Philippines",2012,2019
"barcode73/ARTIC/medaka","Asian SEA4_A1.2","Philippines",2012,2019
"barcode49/ARTIC/medaka","Asian SEA4_A1.2","Philippines",2012,2019
"RADDL3-845/ARTIC/medaka","Asian SEA4_A1.2","Philippines",2012,2019
"Z-14-182/ARTIC/medaka","Asian SEA4_A1.2","Philippines",2012,2019
"R3-21-0467/ARTIC/medaka","Asian SEA4_A1.2","Philippines",2012,2019
